time,reference,T F out,T C in,T F in,T C out
3619676231,296.402836,41.428125,18.931389,41.447389,19.2851
3619676231,296.41013,41.5509,18.997695,41.300469,19.292445
3619676232,296.402836,41.543703,19.029652,41.582226,19.245804
3619676232,296.41013,41.5509,19.076302,41.608684,19.292445
3619676233,296.402836,41.678529,19.049304,41.351067,19.245804
3619676233,296.402836,41.562964,18.990348,41.717047,19.265452
3619676234,296.402836,41.485915,18.951042,41.505178,19.245804
3619676234,296.402836,41.485915,19.167208,41.582226,19.363688
3619676235,296.41013,41.493113,19.213852,41.531638,19.390679
3619676235,296.41013,41.47385,18.879775,41.531638,19.253149
3619676236,296.402836,41.620748,19.186857,41.562964,19.265452
3619676236,296.41013,41.493113,18.899429,41.608684,19.272797
3619676237,296.402836,41.428125,18.911736,41.52444,19.324395
3619676237,296.402836,41.601487,18.892082,41.485915,19.2851
3619676238,296.41013,41.531638,19.174553,41.512376,19.292445
3619676238,296.402836,41.428125,19.049304,41.351067,19.245804
3619676239,296.41013,41.589423,18.958389,41.512376,19.272797
3619676239,296.402836,41.736306,19.245804,41.447389,19.2851
3619676240,296.402836,41.52444,19.344042,41.389597,19.245804
3619676240,296.41013,41.570162,18.978042,41.358266,19.2335
3619676241,296.402836,41.485915,18.852773,41.562964,19.2851
3619676241,296.41013,41.570162,19.095953,41.396795,19.272797
3619676242,296.41013,41.531638,19.253149,41.743503,19.331739
3619676242,296.402836,41.582226,18.774152,41.620748,19.265452
3619676243,296.41013,41.454587,19.036999,41.47385,19.272797
3619676243,296.41013,41.512376,19.272797,41.435323,19.292445
3619676244,296.41013,41.627945,18.978042,41.647205,19.272797
3619676244,296.41013,41.5509,18.919083,41.627945,19.2335
3619676245,296.41013,41.531638,18.879775,41.454587,19.253149
3619676245,296.402836,41.678529,19.01,41.543703,19.2851
3619676246,296.41013,41.493113,19.036999,41.589423,19.351386
3619676246,296.41013,41.627945,18.978042,41.608684,19.253149
3619676247,296.402836,41.543703,18.813463,41.389597,19.2851
3619676247,296.41013,41.435323,19.05665,41.647205,19.253149
3619676248,296.41013,41.666465,18.958389,41.493113,19.272797
3619676248,296.402836,41.562964,18.990348,41.52444,19.265452
3619676249,296.41013,41.570162,18.958389,41.512376,19.253149
3619676249,296.402836,41.505178,19.049304,41.52444,19.304747
3619676250,296.41013,41.512376,18.938736,41.589423,19.2335
3619676250,296.41013,41.647205,19.036999,41.608684,19.213852
3619676251,296.402836,41.52444,18.970695,41.601487,19.226155
3619676251,296.41013,41.647205,18.879775,41.531638,19.2335
3619676252,296.41013,41.801277,18.997695,41.339001,19.272797
3619676252,296.41013,41.724244,18.978042,41.589423,19.213852
3619676253,296.402836,41.562964,19.029652,41.620748,19.226155
