time,reference,T F out,T C in,T F in,T C out
3627490845,298.620351,40.921557,41.326203,40.863739,40.401091
3627490845,298.620351,40.728819,41.306937,40.883012,40.497491
3627490846,298.627646,41.005858,41.352681,40.71676,40.40831
3627490846,298.620351,40.825192,41.61515,40.940829,40.420371
3627490847,298.620351,40.940829,41.326203,40.883012,40.439652
3627490847,298.620351,40.786643,41.287671,40.825192,40.420371
3627490848,298.627646,40.79386,41.294885,40.851682,40.42759
3627490848,298.620351,40.786643,41.383998,40.728819,40.458932
3627490849,298.627646,40.736036,41.487529,40.890228,40.46615
3627490849,298.627646,40.774586,41.294885,40.986587,40.581823
3627490850,298.620351,40.786643,41.595889,40.690267,40.536049
3627490850,298.620351,40.709543,41.345468,40.921557,40.536049
3627490851,298.627646,40.697485,41.19855,41.063669,40.543267
3627490851,298.620351,40.613161,41.422526,40.805918,40.555327
3627490852,298.627646,40.79386,41.506792,40.948044,40.523988
3627490852,298.620351,40.51677,41.403262,40.921557,40.574605
3627490853,298.620351,40.651715,41.191336,40.863739,40.555327
3627490853,298.620351,40.767369,41.114263,40.786643,40.439652
3627490854,298.627646,40.71676,41.449003,41.063669,40.46615
3627490854,298.620351,40.709543,41.383998,40.805918,40.458932
3627490855,298.627646,40.774586,41.160014,40.9095,40.42759
3627490855,298.620351,40.728819,41.1528,40.844465,40.51677
3627490856,298.620351,40.709543,41.191336,40.863739,40.555327
3627490856,298.620351,40.728819,41.133531,41.017914,40.574605
3627490857,298.620351,40.709543,41.268405,40.825192,40.536049
3627490857,298.627646,40.79386,41.31415,40.832408,40.504709
3627490858,298.627646,40.928772,41.294885,40.697485,40.504709
3627490858,298.627646,40.71676,41.31415,41.063669,40.581823
3627490859,298.620351,40.786643,41.229871,40.844465,40.458932
3627490859,298.620351,40.728819,41.1528,41.037184,40.555327
3627490860,298.627646,40.697485,41.275618,40.986587,40.562545
3627490860,298.627646,40.639655,41.256352,40.9095,40.581823
3627490861,298.627646,40.736036,41.237085,40.967316,40.543267
3627490861,298.627646,40.736036,41.564578,40.948044,40.543267
3627490862,298.627646,40.601101,41.294885,40.870955,40.523988
3627490862,298.627646,40.658932,41.237085,40.890228,40.504709
3627490863,298.627646,40.639655,41.160014,41.005858,40.562545
3627490863,298.627646,40.658932,41.429739,40.890228,40.562545
3627490864,298.627646,40.678208,41.102208,40.986587,40.562545
3627490864,298.627646,40.601101,41.275618,40.851682,40.658932
3627490865,298.63494,40.627596,41.167229,40.858898,40.627596
3627490865,298.627646,41.044399,41.256352,40.79386,40.40831
3627490866,298.627646,40.774586,41.256352,40.870955,40.601101
3627490866,298.627646,40.79386,41.217818,41.044399,40.504709
3627490867,298.627646,40.523988,41.31415,40.948044,40.543267
3627490867,298.627646,40.658932,41.140746,40.948044,40.639655
3627490868,298.627646,40.79386,41.217818,41.005858,40.581823
3627490868,298.63494,40.781802,41.494742,41.013074,40.589041
3627490869,298.627646,40.658932,41.333416,40.870955,40.620378
3627490869,298.63494,40.743253,41.090154,41.013074,40.589041
3627490870,298.627646,40.870955,41.256352,40.967316,40.543267
3627490870,298.63494,40.646873,41.128692,40.95526,40.550485
3627490871,298.63494,40.66615,41.147961,40.935988,40.608319
3627490871,298.627646,40.697485,41.237085,40.870955,40.562545
